0,x=((180-80)-60)-180,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A)),80), Equals(MeasureOf(Angle(B)),60), Parallel(Line(D,E),Line(B,C)), Find(MeasureOf(Angle(C,E,D)))",LengthOf Triangle ABC   Equals MeasureOf Angle A  80  Equals MeasureOf Angle B  60  Parallel Line DE Line BC   Find MeasureOf Angle CED   ,140
1,x=(180-50)/2,"Parallel(Line(A,B),Line(C,D)), IntersectAt(Line(E,F),Line(A,B),Point(E)), Line(C,D), Point(F), BisectsAngle(Line(E,G),MeasureOf(Angle(B,E,F))), Point(G), Equals(MeasureOf(Angle(1)),50), Find(MeasureOf(Angle(2)))",Parallel Line AB Line CD   IntersectAt Line EF Line AB Point E   Line CD  Point F  BisectsAngle Line EG MeasureOf Angle BEF    Point G  Equals MeasureOf Angle 1  50  Find MeasureOf Angle 2   ,65
2,x=(??(5*5-4*4))*2,"IsChordOf(Line(A,B),Circle($)), Equals(Circle($),\tan), Circle($)",IsChordOf Line AB Circle $   Equals Circle $ \tan  Circle $ ,6
3,x=30*2,"Equals(LengthOf(Line(O,A)),Line(O,B)), Equals(LengthOf(Line(O,B)),Line(O,C)), Equals(MeasureOf(Angle(A,C,B)),30), Find(MeasureOf(Angle(A,O,B)))",Equals LengthOf Line OA  Line OB   Equals LengthOf Line OB  Line OC   Equals MeasureOf Angle ACB  30  Find MeasureOf Angle AOB   ,60
4,x=70,"Line(a), Line(c), Line(b), Equals(MeasureOf(Angle(1)),70), Find(MeasureOf(Angle(2)))",Line a  Line c  Line b  Equals MeasureOf Angle 1  70  Find MeasureOf Angle 2   ,70
5,x=120,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),120), Find(MeasureOf(Angle(2)))",Line a  Line c  Equals MeasureOf Angle 1  120  Find MeasureOf Angle 2   ,120
6,x=180-135,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(2)),135), Find(MeasureOf(Angle(1)))",Parallel Line AB Line CD   Equals MeasureOf Angle 2  135  Find MeasureOf Angle 1   ,45
8,x=10*2,"Shape($), Isosceles(Trapezoid(A,B,C,D)), SideOf(Regular(Polygon($))), Equals(LengthOf(Line(A,C)),10), Quadrilateral(E,F,G,H)",Shape $  Isosceles Trapezoid ABCD   SideOf Regular Polygon $    Equals LengthOf Line AC  10  Quadrilateral EFGH ,20
9,x=(3/9)/2,"Line(B,E), HeightOf(Polygon($)), Line(C,D), Equals(Line(B,E),2), Equals(LengthOf(Line(A,B)),3), Equals(LengthOf(Line(A,C)),9), Point(A), Point(E), Point(D)",Line BE  HeightOf Polygon $   Line CD  Equals Line BE 2  Equals LengthOf Line AB  3  Equals LengthOf Line AC  9  Point A  Point E  Point D ,6
11,x=(4*2)-30,"PerimeterOf(Polygon($)), Equals(LengthOf(Triangle(A,B,C)),30), Line(A,C), LengthOf(Triangle(A,B,C)), Point(A), Line(B,C), Point(D), Point(E), Line(A,D), Equals(LengthOf(Line(A,E)),4), LengthOf(Triangle(A,B,D)), Find(PerimeterOf(Polygon($)))",PerimeterOf Polygon $   Equals LengthOf Triangle ABC  30  Line AC  LengthOf Triangle ABC   Point A  Line BC  Point D  Point E  Line AD  Equals LengthOf Line AE  4  LengthOf Triangle ABD   Find PerimeterOf Polygon $   ,22
